Row,userid,mood,activity.daily_routines,activity.emotional,activity.entertainment,activity.intellectual,activity.live_music,activity.music_listening,activity.on_the_move,activity.physical,activity.social
Row 1,5,encouraged,0,1,0,0,0,0,1,0,0
Row 2,5,inspired,1,1,0,1,1,0,0,1,0
Row 3,5,smooth,1,1,1,1,1,0,0,1,1
Row 4,6,peaceful,0,0,0,0,0,0,1,0,0
Row 5,6,tragic,0,0,0,0,0,0,0,0,0
Row 6,7,angry,0,0,0,1,0,1,0,1,0
Row 7,7,intense,0,0,1,0,1,0,0,0,0
Row 8,7,sentimental,0,0,0,0,0,1,0,0,0
Row 9,7,sexual,0,0,1,0,0,0,0,0,0
Row 10,8,angry,0,1,0,0,0,1,0,1,0
Row 11,8,bitchy,0,0,0,0,0,1,0,0,0
Row 12,8,bored,0,1,0,0,0,0,0,1,0
Row 13,8,celebratory,0,0,1,0,0,0,0,0,0
Row 14,8,cool,0,0,1,0,0,0,0,0,0
Row 15,8,dancing,0,0,1,0,1,1,0,0,0
Row 16,8,deep,1,1,0,0,0,0,0,0,0
Row 17,8,dreamy,1,0,1,0,0,0,0,0,0
Row 18,8,driving,0,0,0,0,1,0,0,0,0
Row 19,8,encouraged,0,0,0,0,0,1,0,0,1
Row 20,8,energetic,0,1,0,0,0,0,0,0,0
Row 21,8,epic,0,0,0,0,1,1,0,0,0
Row 22,8,euphoric,0,0,0,0,0,0,0,1,0
Row 23,8,fast,0,0,0,0,0,0,1,0,0
Row 24,8,festive,1,0,0,0,0,0,0,0,0
Row 25,8,friendly,1,0,0,0,0,1,0,0,1
Row 26,8,fun,0,0,0,0,0,1,0,0,0
Row 27,8,funny,0,0,0,0,0,1,0,0,0
Row 28,8,good,0,1,1,0,0,1,0,0,0
Row 29,8,happy,0,0,1,0,0,0,0,0,0
Row 30,8,in_love,0,0,0,0,0,1,0,0,0
Row 31,8,inspired,0,0,0,1,0,1,0,0,0
Row 32,8,jumpy,0,0,0,0,0,0,0,0,1
Row 33,8,liberated,0,0,0,0,0,1,0,0,1
Row 34,8,light_hearted,0,0,0,0,0,1,0,0,0
Row 35,8,liked,0,1,0,0,0,0,0,0,0
Row 36,8,motivational,1,0,0,0,0,0,0,0,0
Row 37,8,nocturnal,0,0,0,0,0,1,0,0,0
Row 38,8,passionate,1,0,0,0,0,0,0,0,0
Row 39,8,pleasant,0,0,1,0,0,0,0,0,0
Row 40,8,positive,0,0,0,1,0,0,0,0,0
Row 41,8,religious,0,1,0,0,0,1,0,0,1
Row 42,8,satisfied,0,0,1,0,0,0,0,0,0
Row 43,8,sensual,0,0,0,0,0,1,0,0,0
Row 44,8,severe,1,1,0,0,0,0,0,0,0
Row 45,8,sexual,0,0,0,0,0,1,0,0,0
Row 46,8,slow,0,1,0,0,0,0,0,1,0
Row 47,8,sorry,0,1,0,0,0,0,0,0,0
Row 48,8,successful,0,0,0,0,0,0,1,0,0
Row 49,8,tragic,0,1,0,0,0,0,0,0,0
Row 50,8,tranquil,0,0,0,0,0,0,0,1,0
Row 51,8,uplifting,0,0,0,0,0,0,0,0,1
Row 52,10,deep,1,1,1,0,0,1,1,0,0
Row 53,10,energetic,0,1,1,0,0,0,0,0,0
Row 54,10,fast,0,0,0,0,1,0,0,0,0
Row 55,10,tranquil,0,0,0,0,0,0,0,0,0
Row 56,11,bitchy,0,0,0,0,0,0,0,1,0
Row 57,11,deep,0,0,0,0,0,1,1,1,0
Row 58,11,dreamy,0,0,0,0,0,1,0,0,0
Row 59,11,easy,0,1,0,0,0,0,0,0,0
Row 60,11,happy,0,0,0,0,0,0,0,1,0
Row 61,11,interested,0,0,1,0,0,0,0,0,0
Row 62,11,jumpy,0,0,0,1,0,0,0,0,0
Row 63,11,pleasant,0,0,0,0,0,0,0,0,1
Row 64,11,spiritual,0,0,1,0,0,0,0,0,0
Row 65,11,strong,1,0,0,0,0,0,0,0,0
