"userid","trackid","mood.adorable","mood.aggressive","mood.amazed","mood.angry","mood.animated","mood.bitchy","mood.bored","mood.celebratory","mood.cool","mood.dancing","mood.deep","mood.delighted","mood.dramatic","mood.dreamy","mood.driving","mood.easy","mood.elegant","mood.emotional","mood.encouraged","mood.energetic","mood.enthusiastic","mood.epic","mood.euphoric","mood.excited","mood.fantastic","mood.fast","mood.festive","mood.free","mood.friendly","mood.fun","mood.funny","mood.furious","mood.gentle","mood.glorious","mood.good","mood.graceful","mood.happy","mood.heroic","mood.hot","mood.in_love","mood.inspired","mood.intense","mood.interested","mood.joyful","mood.jumpy","mood.liberated","mood.light_hearted","mood.liked","mood.loud","mood.melancholic","mood.moody","mood.motivational","mood.nocturnal","mood.passionate","mood.peaceful","mood.playful","mood.pleasant","mood.positive","mood.powerful","mood.pulsating","mood.reflective","mood.relaxed","mood.religious","mood.repetitive","mood.retro","mood.rhythmical","mood.romantic","mood.sad","mood.satisfied","mood.sensual","mood.sentimental","mood.serene","mood.severe","mood.sexual","mood.sexy","mood.slow","mood.smooth","mood.soft","mood.sorry","mood.spiritual","mood.spontaneous","mood.stimulated","mood.strong","mood.stylish","mood.successful","mood.tragic","mood.tranquil","mood.uplifting","activity.daily_routines","activity.emotional","activity.entertainment","activity.intellectual","activity.live_music","activity.music_listening","activity.on_the_move","activity.physical","activity.social"
1459,88887,0,,,0,,,,0,0,,0,,,,0,0,,,1,,0,,,,,,,,0,,,,,0,,,,0,0,,0,,,,,0,0,0,0,1,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,0,0,0,0,0,0,1,0,0
1147,1354038,,0,0,,,,,,,0,0,,,0,,,0,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,0,0,,0,0,,1,,,,,,,0,,,0,0,0,,,,0,,0,,,0,,,,,,,,,,,,0,,,0,,0,1,0,0,0,0,0,0,0
1147,6687288,0,,0,,,,,,,,0,0,0,,,0,,0,0,,,,,,1,,,,0,,0,,0,0,,,,,,,0,0,0,,,,,,,,0,0,0,,,0,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0
1147,6930066,,0,,,,,,,,,0,,,0,0,,,,,,0,,,0,,,0,0,,,,,0,,,,,,,,,,,0,,0,,,0,,,,0,,,,,0,0,,,,0,0,,,,,0,,,,,0,,,,,,0,,,0,,,,1,,0,0,0,0,0,0,0,1,0
1459,44725762,0,,,,0,0,1,,,,,,,,0,,,,0,,,,,,,0,,,,1,,0,,0,0,,,,,0,,,,,,,,,0,0,0,,,,,,,0,,0,,,0,,,,0,,,,,,,,,0,,,,,,,,,0,,0,,1,0,0,0,0,0,0,0,0
1147,3537881,0,0,0,,,,,0,,,,,0,,,,,0,,,,1,,,0,,,,,,0,,,0,,0,,,,,0,,,,,,,,,,,0,,,,,,0,,0,0,,,,,,,,,,,,0,0,,0,1,,,,,,,,0,0,,,0,0,1,0,0,0,0,0,0
1459,9566570,,,,,,,0,,,,,0,,,,0,,,0,,,,1,,0,0,,0,,1,,,,,,,,,,,0,,,,0,,,,,,0,,0,,,,0,,,,0,,,0,,0,0,,,,,,,,,,,,,,0,,0,,,0,0,,0,0,0,0,0,0,1,0,0
1459,41036785,,,,,,,0,,,,,,0,,0,,,,0,,,0,,,,,0,0,,,0,,,,,,,,,1,0,,,,,0,,0,,,,,,,,,,,0,,,0,,,,,0,0,,,,,,,0,,,,0,,,,,0,,0,0,0,1,0,0,0,0,0,0,0,0
680,44892173,0,,0,,0,,,,,,,,0,0,,,,,,,,,,0,,,,0,,,,,,0,,,1,0,,0,,,,,,,,,,,,1,,,0,,,1,,0,,,,,0,,,,,,,,,1,,,0,,,,,1,1,,1,0,,,1,1,0,1,1,0,1,1,1
1459,4684617,,,,,,,0,,0,,,0,,,,,0,,,,,,,,,,,0,,0,,,,0,,0,,,0,,0,,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,0,,,1,,,,0,0,0,0,0,,,0,0,,,,0,0,1,0,0,0,0,0,0
