"trackid","artistname","tracknumber","duration","artistid","tracktitle","releasetitle","releaseid"
148,"Blink 182",8,168,2,"All The Small Things","Enema Of The State",20
155,"Blink 182",3,193,2,"Aliens Exist","Enema Of The State",20
565,"India.Arie",16,245,64,"Interested","Voyage To India (Limited Edition)",49
684,"Amy Winehouse",4,201,4,"Fuck Me Pumps","Frank",56
688,"Amy Winehouse",13,797,4,"Amy Amy Amy / Outro","Frank",56
695,"Amy Winehouse",6,209,4,"Moody's Mood For Love / Teo Licks","Frank",56
1445,"Erykah Badu",2,226,103,"On &amp; On","Baduizm",106
1492,"Blink 182",10,251,2,"Always","blink-182",109
1502,"Blink 182",3,227,2,"I Miss You","blink-182",109
1528,"Keane",12,278,1,"Bedshaped","Hopes And Fears",112
1646,"3 Doors Down",1,237,108,"Here Without You","Here Without You",130
2199,"Bob Marley &amp; The Wailers",15,211,159,"Jamming","Legend",212
2202,"Bob Marley &amp; The Wailers",4,180,159,"Three Little Birds","Legend",212
2205,"Bob Marley &amp; The Wailers",16,412,159,"Punky Reggae Party","Legend",212
2206,"Bob Marley &amp; The Wailers",1,231,159,"Is This Love","Legend",212
2207,"Bob Marley &amp; The Wailers",2,428,159,"No Woman, No Cry","Legend",212
2208,"Bob Marley &amp; The Wailers",3,237,159,"Could You Be Loved","Legend",212
2209,"Bob Marley &amp; The Wailers",5,258,159,"Buffalo Soldier","Legend",212
2212,"Bob Marley &amp; The Wailers",8,177,159,"Easy Skanking","Legend",212
2214,"Bob Marley &amp; The Wailers",12,228,159,"Redemption Song","Legend",212
2289,"Nick Drake",8,214,165,"Parasite","Pink Moon",220
2968,"Coldplay",2,229,20,"In My Place","A Rush Of Blood To The Head",296
2970,"Coldplay",4,311,20,"The Scientist","A Rush Of Blood To The Head",296
2971,"Coldplay",5,308,20,"Clocks","A Rush Of Blood To The Head",296
3009,"Coldplay",1,311,20,"The Scientist","The Scientist",310
3677,"Pulp",5,350,78,"Common People","Hits",385
3846,"Counting Crows",1,188,257,"Accidentally In Love","Accidentally In Love (From Shrek 2 S/T)",431
3907,"Black Eyed Peas",1,218,263,"Let's Get It Started","Let's Get It Started",437
4170,"Kool &amp; The Gang",2,295,288,"Get Down On It","Celebration: The Best Of Kool &amp; The Gang (1979-1987)",487
4507,"U2",1,188,106,"Helter Skelter","Rattle And Hum",551
