,trackid,artistname,tracknumber,duration,artistid,tracktitle,releasetitle,releaseid,spotify,spotify_ret
0,148,Blink 182,8,168,2,All The Small Things,Enema Of The State,20,"{'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/6FBDaR13swtiWwGhX1WQsP'}, 'href': 'https://api.spotify.com/v1/artists/6FBDaR13swtiWwGhX1WQsP', 'id': '6FBDaR13swtiWwGhX1WQsP', 'name': 'blink-182', 'type': 'artist', 'uri': 'spotify:artist:6FBDaR13swtiWwGhX1WQsP'}], 'external_urls': {'spotify': 'https://open.spotify.com/track/2m1hi0nfMR9vdGC8UcrnwU'}, 'name': 'All The Small Things', 'uri': 'spotify:track:2m1hi0nfMR9vdGC8UcrnwU', 'genre': ['modern rock', 'pop punk', 'punk']}",True
1,155,Blink 182,3,193,2,Aliens Exist,Enema Of The State,20,"{'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/6FBDaR13swtiWwGhX1WQsP'}, 'href': 'https://api.spotify.com/v1/artists/6FBDaR13swtiWwGhX1WQsP', 'id': '6FBDaR13swtiWwGhX1WQsP', 'name': 'blink-182', 'type': 'artist', 'uri': 'spotify:artist:6FBDaR13swtiWwGhX1WQsP'}], 'external_urls': {'spotify': 'https://open.spotify.com/track/3nqm3DdVskqbHhmb8S8hMd'}, 'name': 'Aliens Exist', 'uri': 'spotify:track:3nqm3DdVskqbHhmb8S8hMd', 'genre': ['modern rock', 'pop punk', 'punk']}",True
2,565,India.Arie,16,245,64,Interested,Voyage To India (Limited Edition),49,"{'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/6TLXJfd9KgpKRfvkrqdsQ7'}, 'href': 'https://api.spotify.com/v1/artists/6TLXJfd9KgpKRfvkrqdsQ7', 'id': '6TLXJfd9KgpKRfvkrqdsQ7', 'name': 'RTS Triplets', 'type': 'artist', 'uri': 'spotify:artist:6TLXJfd9KgpKRfvkrqdsQ7'}], 'external_urls': {'spotify': 'https://open.spotify.com/track/0X7dPY4rwjzNY29RdPX4bF'}, 'name': 'Not Interested', 'uri': 'spotify:track:0X7dPY4rwjzNY29RdPX4bF', 'genre': []}",True
3,684,Amy Winehouse,4,201,4,Fuck Me Pumps,Frank,56,"{'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/6Q192DXotxtaysaqNPy5yR'}, 'href': 'https://api.spotify.com/v1/artists/6Q192DXotxtaysaqNPy5yR', 'id': '6Q192DXotxtaysaqNPy5yR', 'name': 'Amy Winehouse', 'type': 'artist', 'uri': 'spotify:artist:6Q192DXotxtaysaqNPy5yR'}], 'external_urls': {'spotify': 'https://open.spotify.com/track/3ku4ScVEkZvurrcjmMrOAL'}, 'name': 'Fuck Me Pumps', 'uri': 'spotify:track:3ku4ScVEkZvurrcjmMrOAL', 'genre': ['british soul', 'neo soul', 'pop']}",True
4,688,Amy Winehouse,13,797,4,Amy Amy Amy / Outro,Frank,56,"{'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/6Q192DXotxtaysaqNPy5yR'}, 'href': 'https://api.spotify.com/v1/artists/6Q192DXotxtaysaqNPy5yR', 'id': '6Q192DXotxtaysaqNPy5yR', 'name': 'Amy Winehouse', 'type': 'artist', 'uri': 'spotify:artist:6Q192DXotxtaysaqNPy5yR'}], 'external_urls': {'spotify': 'https://open.spotify.com/track/4fspdRbEdSHJvImD8Pl8Xv'}, 'name': 'Amy Amy Amy / Outro', 'uri': 'spotify:track:4fspdRbEdSHJvImD8Pl8Xv', 'genre': ['british soul', 'neo soul', 'pop']}",True
5,695,Amy Winehouse,6,209,4,Moody's Mood For Love / Teo Licks,Frank,56,"{'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/6Q192DXotxtaysaqNPy5yR'}, 'href': 'https://api.spotify.com/v1/artists/6Q192DXotxtaysaqNPy5yR', 'id': '6Q192DXotxtaysaqNPy5yR', 'name': 'Amy Winehouse', 'type': 'artist', 'uri': 'spotify:artist:6Q192DXotxtaysaqNPy5yR'}], 'external_urls': {'spotify': 'https://open.spotify.com/track/2cwceznjAMWRRFc89F4KMe'}, 'name': ""Moody's Mood For Love / Teo Licks"", 'uri': 'spotify:track:2cwceznjAMWRRFc89F4KMe', 'genre': ['british soul', 'neo soul', 'pop']}",True
6,1445,Erykah Badu,2,226,103,On &amp; On,Baduizm,106,"{'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/39g75EmRFeFbvHhsGjUpLU'}, 'href': 'https://api.spotify.com/v1/artists/39g75EmRFeFbvHhsGjUpLU', 'id': '39g75EmRFeFbvHhsGjUpLU', 'name': 'Amp Fiddler', 'type': 'artist', 'uri': 'spotify:artist:39g75EmRFeFbvHhsGjUpLU'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/7AEduKdFxao8zneBl7b66Y'}, 'href': 'https://api.spotify.com/v1/artists/7AEduKdFxao8zneBl7b66Y', 'id': '7AEduKdFxao8zneBl7b66Y', 'name': 'Dames Brown', 'type': 'artist', 'uri': 'spotify:artist:7AEduKdFxao8zneBl7b66Y'}], 'external_urls': {'spotify': 'https://open.spotify.com/track/50uw8iZZ9xHxUwNqlbUYin'}, 'name': 'Slippin on Ya Pimpin', 'uri': 'spotify:track:50uw8iZZ9xHxUwNqlbUYin', 'genre': ['acid jazz', 'broken beat', 'deep house', 'funk', 'indie jazz', 'neo r&b', 'neo soul', 'nu jazz']}",True
7,1492,Blink 182,10,251,2,Always,blink-182,109,"{'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms'}, 'href': 'https://api.spotify.com/v1/artists/1HY2Jd0NmPuamShAr6KMms', 'id': '1HY2Jd0NmPuamShAr6KMms', 'name': 'Lady Gaga', 'type': 'artist', 'uri': 'spotify:artist:1HY2Jd0NmPuamShAr6KMms'}], 'external_urls': {'spotify': 'https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk'}, 'name': 'Always Remember Us This Way', 'uri': 'spotify:track:2rbDhOo9Fh61Bbu23T2qCk', 'genre': ['dance pop', 'pop']}",True
8,1502,Blink 182,3,227,2,I Miss You,blink-182,109,"{'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/6FBDaR13swtiWwGhX1WQsP'}, 'href': 'https://api.spotify.com/v1/artists/6FBDaR13swtiWwGhX1WQsP', 'id': '6FBDaR13swtiWwGhX1WQsP', 'name': 'blink-182', 'type': 'artist', 'uri': 'spotify:artist:6FBDaR13swtiWwGhX1WQsP'}], 'external_urls': {'spotify': 'https://open.spotify.com/track/1oTo3ijRbaDAtrjJrGAPSw'}, 'name': 'I Miss You', 'uri': 'spotify:track:1oTo3ijRbaDAtrjJrGAPSw', 'genre': ['modern rock', 'pop punk', 'punk']}",True
9,1528,Keane,12,278,1,Bedshaped,Hopes And Fears,112,"{'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/53A0W3U0s8diEn9RhXQhVz'}, 'href': 'https://api.spotify.com/v1/artists/53A0W3U0s8diEn9RhXQhVz', 'id': '53A0W3U0s8diEn9RhXQhVz', 'name': 'Keane', 'type': 'artist', 'uri': 'spotify:artist:53A0W3U0s8diEn9RhXQhVz'}], 'external_urls': {'spotify': 'https://open.spotify.com/track/0fKeO7Omt3JLKXBm29ELLl'}, 'name': 'Bedshaped - Acoustic / Live At The Roundhouse / 2013', 'uri': 'spotify:track:0fKeO7Omt3JLKXBm29ELLl', 'genre': ['neo mellow', 'piano rock', 'pop rock', 'rock']}",True
